voter,osmosis_1,osmosis_3,osmosis_5,osmosis_7,osmosis_22,osmosis_24,osmosis_29,osmosis_39,osmosis_50,osmosis_51,osmosis_55,osmosis_57,osmosis_58,osmosis_62,osmosis_72,osmosis_74,osmosis_76,osmosis_81,osmosis_82,osmosis_84,osmosis_96,osmosis_109,osmosis_111,osmosis_114,osmosis_120,osmosis_123,osmosis_130,osmosis_132,osmosis_133,osmosis_134,osmosis_135,osmosis_140,osmosis_141,osmosis_144,osmosis_146,osmosis_148,osmosis_149,osmosis_151,osmosis_152,osmosis_153,osmosis_156,osmosis_159,osmosis_163,osmosis_165,osmosis_166,osmosis_169,osmosis_170,osmosis_171,osmosis_173,osmosis_178,osmosis_180,osmosis_188,osmosis_190,osmosis_191,osmosis_211,osmosis_306,osmosis_162,osmosis_194,osmosis_195,osmosis_199,osmosis_200,osmosis_204,osmosis_206,osmosis_207,osmosis_208,osmosis_209,osmosis_216,osmosis_220,osmosis_232,osmosis_237,osmosis_251,osmosis_256,osmosis_261,osmosis_262,osmosis_267,osmosis_270,osmosis_271,osmosis_273,osmosis_305,osmosis_309,osmosis_315,osmosis_316,osmosis_323,osmosis_326,osmosis_339,osmosis_342,osmosis_343,osmosis_349,osmosis_350,osmosis_362,osmosis_365,osmosis_367,osmosis_372,osmosis_378,osmosis_386,osmosis_388,osmosis_389,osmosis_390,osmosis_400,osmosis_402,osmosis_403,osmosis_419,osmosis_420,osmosis_421,osmosis_436,osmosis_442,osmosis_444,osmosis_451,osmosis_457,osmosis_480,osmosis_482,osmosis_492,osmosis_497,osmosis_498,osmosis_519,osmosis_530,osmosis_561,osmosis_564,osmosis_593,osmosis_610,osmosis_620,osmosis_638,osmosis_639,osmosis_640,osmosis_641,osmosis_645,osmosis_652,osmosis_655,osmosis_688,osmosis_694,osmosis_700,osmosis_706,osmosis_707,osmosis_712,osmosis_741,osmosis_742,osmosis_755,osmosis_764,osmosis_785,osmosis_276,osmosis_277,osmosis_320,osmosis_352,osmosis_376,osmosis_394,osmosis_406,osmosis_417,osmosis_464,osmosis_241,osmosis_242,osmosis_243,osmosis_281,osmosis_294,osmosis_295,osmosis_307,osmosis_317,osmosis_375,osmosis_424,osmosis_426,osmosis_430,osmosis_431,osmosis_447,osmosis_449,osmosis_461,osmosis_473,osmosis_474,osmosis_475,osmosis_500,osmosis_505,osmosis_512,osmosis_516,osmosis_518,osmosis_520,osmosis_523,osmosis_526,osmosis_527,osmosis_528,osmosis_544,osmosis_548,osmosis_553,osmosis_567,osmosis_568,osmosis_569,osmosis_572,osmosis_576,osmosis_577,osmosis_605,osmosis_635,osmosis_650,osmosis_666,osmosis_702,osmosis_767,osmosis_769,osmosis_770,osmosis_771,osmosis_772,osmosis_780,osmosis_784,osmosis_786,osmosis_788,osmosis_789,osmosis_798,osmosis_801,osmosis_812,osmosis_833,osmosis_834,osmosis_841,osmosis_850,cluster_label
Inactive   Mercury,NO,YES,NO_VOTE,NO,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,YES,NO_VOTE,NO_VOTE,ABSTAIN,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,NO_VOTE,ABSTAIN,YES,YES,NO_VOTE,YES,YES,ABSTAIN,ABSTAIN,NO,YES,YES,YES,NO_VOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Chainflow,YES,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,YES,ABSTAIN,,,YES,ABSTAIN,,,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,,,ABSTAIN,ABSTAIN,,,YES,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
REDELEGATE  CLOSING 010723,YES,NO_VOTE,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,NO_VOTE,,,,NO_VOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,,,,,,,,,NO,NO,NO,YES,YES,YES,,,,,YES,,,,,YES,YES,,,,YES,YES,YES,,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,,YES,ABSTAIN,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,YES,YES,YES,ABSTAIN,YES,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Imperatorco,ABSTAIN,ABSTAIN,NO,NO,YES,,YES,YES,YES,YES,NO,YES,ABSTAIN,,ABSTAIN,,,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,NO,ABSTAIN,,,ABSTAIN,NO,YES,NO,YES,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,,YES,NO,YES,YES,YES,ABSTAIN,NO,NO,ABSTAIN,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,YES,NO,YES,NO,YES,YES,,NO,NO,NO,NO,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,NO,NO,YES,YES,ABSTAIN,ABSTAIN,NO,NO,NO,YES,NO,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,NO,YES,ABSTAIN,ABSTAIN,YES,YES,NO,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO_WITH_VETO,ABSTAIN,YES,NO_WITH_VETO,NO,NO,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,NO,YES,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO,ABSTAIN,ABSTAIN,NO,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,NO,YES,NO,ABSTAIN,YES,ABSTAIN,YES,NO,NO,NO,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,NO,NO,ABSTAIN,ABSTAIN,3
 AutoStake  Slash Protected,YES,NO_VOTE,YES,NO,NO,NO,ABSTAIN,ABSTAIN,NO,,NO,ABSTAIN,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,ABSTAIN,,,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,ABSTAIN,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,ABSTAIN,NO,YES,YES,YES,YES,YES,YES,NO_WITH_VETO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,NO_WITH_VETO,ABSTAIN,NO,NO_WITH_VETO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,ABSTAIN,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,ABSTAIN,NO,NO,YES,YES,YES,NO,NO,YES,ABSTAIN,ABSTAIN,NO,NO,YES,YES,,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,3
Cosmic Validator,YES,,,,,,,,YES,YES,,,,,,,,,,,NO_WITH_VETO,,,,,YES,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
StakeWithUs,YES,,,,YES,,,,,,NO,,,,,,,,,,NO,,,,YES,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,,YES,YES,ABSTAIN,NO,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,,ABSTAIN,YES,NO,ABSTAIN,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,NO,NO,,NO,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,ABSTAIN,YES,YES,NO,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,YES,ABSTAIN,NO,YES,YES,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,NO,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,NO,NO,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,,,3
Staking Fund,ABSTAIN,ABSTAIN,,NO,,,,ABSTAIN,,,,,,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,,,,,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
BHarvest,YES,,NO,,,ABSTAIN,,NO,,ABSTAIN,NO,YES,YES,YES,ABSTAIN,NO,ABSTAIN,YES,,YES,NO_WITH_VETO,ABSTAIN,NO,YES,NO,NO,ABSTAIN,,,NO,YES,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,YES,NO,NO,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,NO,,YES,ABSTAIN,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,,,YES,YES,YES,YES,NO,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,ABSTAIN,YES,YES,,ABSTAIN,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,ABSTAIN,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,3
Provalidator,YES,YES,,NO,YES,,,,,,NO,,,,,,,,,,NO_WITH_VETO,YES,ABSTAIN,NO,YES,ABSTAIN,YES,NO,YES,NO,YES,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,YES,NO,NO,YES,,YES,NO,YES,YES,NO,NO,NO,NO,,NO,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,,,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,YES,,ABSTAIN,YES,YES,ABSTAIN,YES,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,,,YES,,ABSTAIN,YES,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,NO,NO,NO,YES,NO,NO,YES,YES,,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,YES,ABSTAIN,YES,YES,ABSTAIN,YES,YES,NO,NO,ABSTAIN,ABSTAIN,3
Simply Staking,ABSTAIN,ABSTAIN,,,,,,,YES,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,,ABSTAIN,YES,YES,,,NO,YES,YES,ABSTAIN,NO,NO,ABSTAIN,NO,ABSTAIN,YES,NO,,,ABSTAIN,NO,YES,YES,,,YES,YES,YES,YES,ABSTAIN,NO,NO,YES,YES,NO,YES,YES,ABSTAIN,,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,NO,YES,ABSTAIN,ABSTAIN,YES,NO,NO,YES,,,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,YES,YES,YES,ABSTAIN,ABSTAIN,YES,NO_WITH_VETO,ABSTAIN,YES,NO_WITH_VETO,NO,ABSTAIN,YES,YES,NO,YES,YES,YES,YES,YES,,ABSTAIN,YES,,YES,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO,YES,ABSTAIN,YES,YES,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,NO,YES,YES,NO,ABSTAIN,NO,NO,YES,YES,YES,YES,YES,YES,YES,,YES,NO,,,YES,,YES,NO,NO,,,3
StakeLabzone,YES,YES,NO,,NO,,YES,NO,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,NO,,YES,YES,,NO,YES,ABSTAIN,YES,NO,ABSTAIN,YES,YES,YES,ABSTAIN,YES,NO,YES,NO,YES,YES,YES,YES,,,NO,YES,YES,YES,YES,YES,,YES,YES,YES,NO,NO,YES,ABSTAIN,YES,NO,NO,YES,YES,ABSTAIN,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,,,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,,YES,,YES,YES,,,,,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,NO,YES,,,,YES,YES,YES,,NO,YES,,NO,,YES,YES,YES,,,,,,,,,,,,,YES,YES,,,,,,,YES,NO,NO,,NO,YES,,YES,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,YES,,,YES,YES,,,,YES,,YES,,,,NO,YES,NO,,,YES,,NO,YES,YES,,,,,NO,NO,ABSTAIN,,,YES,,,,,,,,,,,,,,,,,YES,,3
Coverlet,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,,,,NO,,,,,,,,,,,,,,YES,YES,NO,ABSTAIN,,,NO,YES,,NO,,,YES,,,,,YES,,NO_WITH_VETO,,,,,,,,,,,,,,,,YES,YES,,,YES,,ABSTAIN,YES,YES,,,,,,YES,,YES,ABSTAIN,YES,,YES,YES,,YES,NO,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,NO_WITH_VETO,YES,NO,NO,,YES,,,ABSTAIN,,ABSTAIN,YES,NO,YES,NO,,,NO,ABSTAIN,,ABSTAIN,YES,ABSTAIN,YES,YES,YES,,,,,,,YES,,,,,,,,,,YES,,,,,,,ABSTAIN,NO,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,YES,YES,NO,NO,NO,,2
Sentinel dVPN,ABSTAIN,ABSTAIN,NO,NO,NO,YES,YES,NO,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,,,,,,,NO_VOTE,NO,ABSTAIN,,NO,,,,,,,NO_VOTE,,,,NO_VOTE,,NO_VOTE,,,,,ABSTAIN,,,,,YES,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,NO_VOTE,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,7
REDELEGATE,NO_WITH_VETO,NO_WITH_VETO,YES,NO_VOTE,NO,ABSTAIN,NO,NO,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO,NO,NO,NO_VOTE,YES,NO_VOTE,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO,NO,NO,ABSTAIN,ABSTAIN,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO_VOTE,YES,NO,NO_VOTE,YES,YES,NO_VOTE,NO_VOTE,NO,NO,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_WITH_VETO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
BouBouNode,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,YES,YES,ABSTAIN,,,,,,,,,YES,,,,,,YES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mandragora,NO_WITH_VETO,ABSTAIN,NO,NO,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO,,,ABSTAIN,YES,,,YES,,,ABSTAIN,YES,YES,ABSTAIN,,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,,,,,,,,,,,,,,,,ABSTAIN,YES,,,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
SpacePotato,ABSTAIN,ABSTAIN,NO,NO,YES,YES,YES,NO,YES,YES,NO,,,ABSTAIN,NO,,ABSTAIN,,,ABSTAIN,,,NO,NO,ABSTAIN,NO,YES,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,NO,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,YES,YES,,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,NO_WITH_VETO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,YES,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
