,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Chainflow,Imperatorco, AutoStake  Slash Protected,StakeWithUs,Simply Staking,StakeLabzone,SpacePotato,Vitwit Previously Witval,SG1,Chorus One,Forbole,POSTHUMAN  StakeDrop,Ping,0basevc,Smart Stake , block pane ,WhisperNode ,a41,Stakyio,Kahuna,16psyche,Nocturnal Labs,decentralizehk  DHK dao,Kalia Network,ECO Stake ,NosNode,Citadelone,Informal Systems, LavenderFive Nodes ,Frens ,Cosmostation,Kleomedes,OmniFlix Network,GATA HUB,hydrogen18,Coinage x DAIC,Stakecito,Meria,BronBro,Cypher Core,ChainLayer,Active Nodes,DACM,strangelove,ushakov,c29r3,Allnodes,PoS Node,Tedcryptoio   TedLotto,kooltek68,CroutonDigital,coaction,EZ Staking,Stakin,notional,WeStaking,SmartNodes  Slash Protected,Yurbason,Neta DAO,Chandra Station,Stake Frites  ,Decloud Nodes Lab,HashKey Cloud,chainvibes,Consensus One,Stakewollecom  Autocompound,Wetez,Architect Nodes,HEXXAGON,DECOMISSIONED AUDITone,Army IDs,Bit Cat,Easy 2 Stake,Nodeasycom,jetlife,Bliss Dynamics,Sikka,PLEASE REDELEGATECLOSED,SNZPool,Autonomy  Formerly PrithviDevs ,Baset,Huobi,ChainodeTech,kano,Cosmic Validator  Auto Compound,ValidatorNode,UNDELEGATE FROM HERE,stakezone,gunray,Bi23,Psycho Node,Bitoven,Komichaincom,BoxedCloudnet,MANTRA,eol,cosmosrescue,SkyNet  Validators,Cosmonaut Stakes AKT,Dwebnet,DLINODESCOM,GlacierLuo,Domination Finance,Arcturian Tech,Akash Af,ALTER  pathrocknetwork,decommissioned,BridgeTower,Dora Factory PGS,MedasDigital,STAKINOLD,Cloudmos,Former Moultrie Audits Inactive,MOVING TO NAKANODOXYZ,VaultStaking,TRGC By Liquify,astravoyage,Anonstake, polkachucom,kavalabs,AGE Network,acheron,Octopos,shepaintedfireacrossthesky,monolith,SHEA Staking,Dorminik,UNBONDING,Inactive pls undelegate,GreenStake One,inactive,Oni   Stake for BoostDrop ,Praetor App,0xDEADBEEF,w3coins,Vixello,Aurora Staking ,50 Validator  Airdrop,Passage,NoDumpNode,Jormungand  0y,INACTIVE Please Redelegate  Trivium  TriviumNetwork,StakeSeeker by BTCS,Crypto Lab Tech,europlots, CryptoCrew Validators,Quasarch,Ariel Akash Insider  Powered by NextNetWorks,Atomstaking,black lodge,SHUTTING DOWN,Crypto and Coffee,FoundryUSA,OGnome,Defi Dojo Validation,high_similarity_voters
0,Chainflow,20,1,0,4,0,25,25,50,20,21,0.8,0.84,0.5,3,1.0,0.24,0.28,0.32,0.28,0.12,0.2,0.3,0.06,0.38,0.22,0.34,0.14,0.4,0.12,0.0,0.28,0.0,0.0,0.12,0.28,0.36,0.3,0.38,0.36,0.3,0.28,0.26,0.34,0.06,0.4,0.18,0.22,0.26,0.02,0.14,0.36,0.36,0.0,0.36,0.28,0.36,0.18,0.2,0.02,0.32,0.32,0.36,0.32,0.26,0.04,0.0,0.26,0.28,0.08,0.28,0.02,0.0,0.34,0.12,0.34,0.36,0.04,0.38,0.02,0.36,0.04,0.0,0.0,0.0,0.42,0.1,0.24,0.28,0.04,0.32,0.02,0.02,0.02,0.2,0.0,0.04,0.24,0.0,0.32,0.38,0.02,0.04,0.0,0.24,0.02,0.24,0.34,0.08,0.0,0.0,0.06,0.04,0.28,0.02,0.0,0.0,0.02,0.04,0.12,0.12,0.0,0.24,0.3,0.0,0.02,0.38,0.0,0.02,0.02,0.12,0.02,0.38,0.38,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.06,0.0,0.0,0.2,0.36,0.0,0.28,0.16,0.22,0.32,0.0,0.32,0.22,0.0,0.1,0.2,0.34,0.0,0.34,0.12,0.34,0.04,0.0,0.16,0.22,0.02,0.04,[]
1,Imperatorco,23,4,1,21,0,49,49,50,25,29,0.5102040816326531,0.5918367346938775,0.98,3,0.24,1.0,0.72,0.52,0.48,0.22,0.28,0.36,0.12,0.48,0.42,0.38,0.08,0.54,0.42,0.12,0.2,0.0,0.02,0.12,0.32,0.44,0.38,0.48,0.58,0.46,0.66,0.4,0.4,0.04,0.62,0.4,0.42,0.24,0.02,0.14,0.4,0.4,0.0,0.38,0.5,0.52,0.26,0.2,0.06,0.36,0.42,0.46,0.26,0.24,0.04,0.04,0.24,0.62,0.3,0.42,0.0,0.0,0.42,0.22,0.44,0.44,0.04,0.5,0.0,0.52,0.16,0.04,0.0,0.04,0.5,0.2,0.34,0.28,0.1,0.44,0.02,0.06,0.02,0.28,0.02,0.06,0.26,0.02,0.58,0.48,0.0,0.08,0.02,0.34,0.08,0.56,0.42,0.08,0.0,0.06,0.02,0.1,0.3,0.02,0.02,0.02,0.0,0.04,0.1,0.1,0.0,0.34,0.24,0.0,0.06,0.5,0.06,0.04,0.06,0.22,0.0,0.42,0.5,0.12,0.08,0.02,0.02,0.0,0.02,0.02,0.14,0.02,0.24,0.02,0.02,0.16,0.44,0.0,0.48,0.14,0.18,0.42,0.04,0.46,0.26,0.02,0.12,0.16,0.36,0.08,0.34,0.04,0.32,0.06,0.0,0.1,0.14,0.0,0.04,"[' AutoStake  Slash Protected', 'Citadelone', 'Cosmostation', 'Stakin']"
2, AutoStake  Slash Protected,34,5,1,10,0,50,50,50,36,38,0.72,0.76,1.0,3,0.28,0.72,1.0,0.52,0.6,0.28,0.38,0.5,0.14,0.62,0.54,0.5,0.08,0.74,0.4,0.14,0.3,0.0,0.02,0.18,0.46,0.58,0.42,0.62,0.78,0.56,0.64,0.48,0.52,0.12,0.7,0.44,0.46,0.3,0.06,0.16,0.54,0.5,0.0,0.46,0.6,0.68,0.38,0.3,0.08,0.5,0.5,0.56,0.4,0.34,0.06,0.04,0.26,0.62,0.38,0.54,0.02,0.0,0.62,0.28,0.6,0.52,0.06,0.68,0.0,0.7,0.22,0.06,0.0,0.06,0.68,0.24,0.44,0.4,0.14,0.62,0.04,0.08,0.04,0.38,0.02,0.1,0.4,0.02,0.66,0.7,0.02,0.14,0.02,0.46,0.14,0.64,0.6,0.14,0.0,0.08,0.1,0.12,0.38,0.02,0.02,0.02,0.02,0.12,0.18,0.18,0.0,0.52,0.26,0.0,0.1,0.62,0.06,0.08,0.1,0.32,0.02,0.52,0.7,0.12,0.08,0.02,0.02,0.0,0.02,0.02,0.18,0.02,0.32,0.02,0.02,0.22,0.58,0.02,0.5,0.18,0.28,0.5,0.02,0.6,0.38,0.0,0.12,0.2,0.48,0.06,0.42,0.04,0.42,0.06,0.0,0.18,0.18,0.0,0.04,"['Imperatorco', 'Simply Staking', 'Chorus One', '0basevc', 'Kalia Network', 'ECO Stake ', 'Citadelone', 'Cosmostation', 'ChainLayer', 'Active Nodes', 'Stakin', 'Neta DAO', 'Stake Frites  ', 'chainvibes', 'Stakewollecom  Autocompound', 'Army IDs', 'Bliss Dynamics', 'Cosmic Validator  Auto Compound', 'ValidatorNode', 'Bitoven', 'Komichaincom', 'Cloudmos', ' polkachucom', 'NoDumpNode']"
3,StakeWithUs,28,3,1,7,0,39,39,50,30,32,0.7692307692307693,0.8205128205128205,0.78,3,0.32,0.52,0.52,1.0,0.56,0.2,0.24,0.44,0.08,0.62,0.38,0.44,0.1,0.6,0.26,0.12,0.32,0.0,0.0,0.18,0.4,0.5,0.54,0.6,0.6,0.5,0.48,0.46,0.48,0.1,0.66,0.28,0.46,0.3,0.0,0.14,0.54,0.5,0.0,0.44,0.52,0.62,0.26,0.24,0.04,0.52,0.46,0.58,0.34,0.32,0.02,0.02,0.34,0.46,0.26,0.46,0.0,0.0,0.52,0.26,0.56,0.46,0.02,0.58,0.0,0.62,0.16,0.0,0.0,0.02,0.56,0.16,0.4,0.38,0.12,0.5,0.02,0.04,0.0,0.32,0.0,0.04,0.32,0.0,0.52,0.54,0.0,0.06,0.0,0.32,0.08,0.44,0.48,0.1,0.0,0.04,0.1,0.1,0.38,0.02,0.0,0.0,0.0,0.08,0.14,0.2,0.0,0.38,0.28,0.0,0.06,0.5,0.06,0.02,0.08,0.22,0.0,0.5,0.6,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.24,0.0,0.0,0.24,0.54,0.0,0.42,0.16,0.3,0.44,0.04,0.52,0.28,0.02,0.12,0.18,0.42,0.0,0.46,0.1,0.42,0.06,0.0,0.16,0.2,0.0,0.02,"['Chorus One', '0basevc', 'Kalia Network', 'ECO Stake ', 'Cosmostation', 'Active Nodes', 'Stakewollecom  Autocompound', ' polkachucom']"
4,Simply Staking,29,4,1,3,0,37,37,50,32,32,0.8648648648648649,0.8648648648648649,0.74,3,0.28,0.48,0.6,0.56,1.0,0.26,0.22,0.38,0.06,0.56,0.48,0.4,0.06,0.62,0.2,0.14,0.26,0.0,0.02,0.16,0.36,0.5,0.44,0.56,0.62,0.48,0.48,0.44,0.48,0.08,0.62,0.28,0.46,0.26,0.08,0.14,0.54,0.5,0.0,0.46,0.5,0.58,0.28,0.2,0.08,0.44,0.36,0.54,0.28,0.28,0.02,0.02,0.24,0.46,0.3,0.44,0.02,0.0,0.5,0.3,0.52,0.42,0.04,0.58,0.02,0.64,0.2,0.0,0.0,0.06,0.56,0.16,0.42,0.38,0.14,0.52,0.04,0.06,0.04,0.26,0.02,0.12,0.36,0.02,0.5,0.58,0.02,0.08,0.02,0.38,0.14,0.46,0.52,0.1,0.0,0.06,0.08,0.08,0.34,0.02,0.0,0.0,0.02,0.08,0.12,0.2,0.0,0.4,0.22,0.0,0.08,0.5,0.04,0.06,0.1,0.32,0.02,0.48,0.6,0.14,0.08,0.02,0.02,0.0,0.02,0.02,0.14,0.0,0.3,0.0,0.0,0.2,0.52,0.0,0.4,0.12,0.26,0.38,0.02,0.5,0.3,0.0,0.1,0.14,0.36,0.0,0.38,0.08,0.36,0.06,0.0,0.18,0.14,0.0,0.02,"[' AutoStake  Slash Protected', '0basevc', 'ECO Stake ', 'Cosmostation', 'Stakewollecom  Autocompound', ' polkachucom']"
5,StakeLabzone,17,0,0,0,0,17,17,50,16,15,0.9411764705882353,0.8823529411764706,0.34,3,0.12,0.22,0.28,0.2,0.26,1.0,0.14,0.1,0.1,0.28,0.28,0.18,0.04,0.32,0.06,0.06,0.04,0.0,0.0,0.0,0.12,0.2,0.18,0.22,0.28,0.24,0.2,0.18,0.2,0.0,0.3,0.14,0.24,0.06,0.02,0.0,0.14,0.18,0.0,0.22,0.26,0.26,0.14,0.04,0.06,0.16,0.1,0.22,0.1,0.14,0.0,0.02,0.04,0.28,0.24,0.26,0.02,0.0,0.2,0.16,0.24,0.18,0.02,0.26,0.04,0.26,0.18,0.0,0.0,0.04,0.3,0.14,0.08,0.2,0.14,0.24,0.0,0.08,0.02,0.2,0.0,0.08,0.16,0.0,0.26,0.34,0.02,0.1,0.0,0.28,0.06,0.28,0.28,0.06,0.0,0.06,0.0,0.06,0.12,0.0,0.02,0.02,0.02,0.0,0.0,0.1,0.0,0.24,0.1,0.0,0.12,0.22,0.02,0.1,0.08,0.2,0.02,0.2,0.28,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.2,0.02,0.02,0.0,0.26,0.0,0.14,0.02,0.06,0.16,0.0,0.2,0.12,0.0,0.06,0.1,0.14,0.0,0.16,0.02,0.12,0.06,0.0,0.04,0.04,0.0,0.0,[]
6,SpacePotato,15,5,0,9,0,29,29,50,16,18,0.5517241379310345,0.6206896551724138,0.58,3,0.2,0.28,0.38,0.24,0.22,0.14,1.0,0.24,0.08,0.3,0.26,0.18,0.06,0.3,0.26,0.06,0.12,0.0,0.0,0.08,0.2,0.22,0.2,0.28,0.32,0.26,0.32,0.14,0.24,0.08,0.32,0.2,0.24,0.18,0.02,0.06,0.26,0.16,0.0,0.2,0.32,0.32,0.2,0.16,0.02,0.18,0.22,0.22,0.18,0.18,0.08,0.0,0.2,0.24,0.16,0.2,0.02,0.0,0.26,0.16,0.32,0.24,0.04,0.34,0.0,0.36,0.1,0.04,0.0,0.04,0.32,0.1,0.24,0.12,0.12,0.28,0.0,0.08,0.02,0.3,0.0,0.06,0.2,0.0,0.32,0.32,0.06,0.1,0.0,0.2,0.12,0.26,0.28,0.12,0.0,0.06,0.06,0.12,0.1,0.0,0.0,0.0,0.02,0.1,0.04,0.04,0.0,0.14,0.1,0.0,0.08,0.36,0.06,0.06,0.1,0.16,0.02,0.22,0.3,0.02,0.06,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.2,0.0,0.0,0.1,0.3,0.0,0.22,0.08,0.12,0.24,0.02,0.26,0.14,0.0,0.12,0.14,0.18,0.04,0.14,0.0,0.16,0.04,0.0,0.08,0.12,0.02,0.08,[]
7,Vitwit Previously Witval,29,4,0,5,0,38,38,50,29,29,0.7631578947368421,0.7631578947368421,0.76,3,0.3,0.36,0.5,0.44,0.38,0.1,0.24,1.0,0.08,0.62,0.32,0.48,0.12,0.62,0.2,0.04,0.4,0.0,0.0,0.18,0.46,0.54,0.5,0.54,0.58,0.42,0.48,0.34,0.42,0.22,0.56,0.36,0.32,0.3,0.02,0.26,0.58,0.5,0.0,0.38,0.48,0.6,0.3,0.4,0.02,0.5,0.56,0.56,0.48,0.28,0.14,0.02,0.24,0.38,0.16,0.44,0.0,0.0,0.54,0.2,0.52,0.46,0.02,0.6,0.0,0.56,0.1,0.04,0.0,0.0,0.56,0.12,0.44,0.38,0.06,0.42,0.02,0.02,0.0,0.38,0.0,0.02,0.32,0.0,0.52,0.56,0.04,0.04,0.0,0.32,0.12,0.36,0.46,0.1,0.0,0.0,0.2,0.04,0.3,0.02,0.0,0.0,0.0,0.2,0.24,0.2,0.0,0.36,0.24,0.0,0.02,0.54,0.02,0.0,0.04,0.16,0.0,0.5,0.56,0.04,0.1,0.0,0.0,0.0,0.02,0.0,0.22,0.0,0.14,0.0,0.0,0.3,0.46,0.0,0.44,0.18,0.36,0.48,0.02,0.44,0.38,0.0,0.06,0.22,0.48,0.0,0.4,0.06,0.46,0.04,0.0,0.26,0.28,0.02,0.12,"['Chorus One', '0basevc', 'Active Nodes', 'chainvibes']"
8,SG1,6,2,0,6,0,14,14,50,6,7,0.42857142857142855,0.5,0.28,3,0.06,0.12,0.14,0.08,0.06,0.1,0.08,0.08,1.0,0.12,0.1,0.1,0.02,0.12,0.14,0.04,0.02,0.0,0.0,0.0,0.06,0.08,0.08,0.1,0.14,0.08,0.16,0.06,0.1,0.0,0.12,0.1,0.14,0.06,0.02,0.0,0.1,0.08,0.0,0.1,0.1,0.08,0.08,0.02,0.02,0.08,0.08,0.12,0.06,0.06,0.0,0.02,0.08,0.08,0.06,0.12,0.0,0.0,0.08,0.06,0.12,0.08,0.02,0.12,0.02,0.1,0.06,0.0,0.0,0.0,0.14,0.06,0.08,0.08,0.02,0.12,0.0,0.04,0.0,0.12,0.0,0.04,0.08,0.0,0.1,0.14,0.0,0.04,0.0,0.08,0.04,0.1,0.12,0.06,0.0,0.02,0.0,0.02,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.04,0.0,0.1,0.04,0.0,0.02,0.1,0.0,0.02,0.02,0.08,0.0,0.08,0.1,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.1,0.02,0.02,0.02,0.12,0.0,0.12,0.02,0.0,0.1,0.0,0.1,0.08,0.0,0.06,0.04,0.06,0.0,0.08,0.0,0.06,0.02,0.0,0.0,0.02,0.0,0.0,[]
9,Chorus One,41,2,1,3,0,47,47,50,40,42,0.851063829787234,0.8936170212765957,0.94,3,0.38,0.48,0.62,0.62,0.56,0.28,0.3,0.62,0.12,1.0,0.48,0.62,0.12,0.86,0.26,0.12,0.44,0.0,0.0,0.2,0.54,0.64,0.66,0.76,0.8,0.58,0.56,0.52,0.58,0.24,0.8,0.38,0.52,0.4,0.02,0.24,0.68,0.66,0.0,0.56,0.6,0.78,0.42,0.38,0.06,0.64,0.58,0.74,0.56,0.38,0.16,0.02,0.3,0.6,0.36,0.64,0.0,0.0,0.7,0.26,0.72,0.62,0.02,0.78,0.02,0.78,0.26,0.04,0.0,0.04,0.8,0.2,0.44,0.5,0.16,0.56,0.02,0.04,0.0,0.46,0.0,0.06,0.36,0.0,0.66,0.8,0.0,0.1,0.0,0.52,0.08,0.56,0.66,0.12,0.0,0.04,0.22,0.06,0.38,0.02,0.0,0.0,0.0,0.22,0.22,0.24,0.0,0.48,0.3,0.0,0.1,0.7,0.02,0.06,0.1,0.3,0.0,0.64,0.78,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.28,0.0,0.0,0.32,0.66,0.0,0.56,0.2,0.42,0.6,0.02,0.64,0.44,0.0,0.12,0.28,0.58,0.0,0.56,0.1,0.56,0.06,0.0,0.26,0.32,0.02,0.14,"[' AutoStake  Slash Protected', 'StakeWithUs', 'Vitwit Previously Witval', 'POSTHUMAN  StakeDrop', '0basevc', 'Nocturnal Labs', 'decentralizehk  DHK dao', 'Kalia Network', 'ECO Stake ', 'Cosmostation', 'Stakecito', 'Meria', 'ChainLayer', 'Active Nodes', 'c29r3', 'PoS Node', 'Stakin', 'WeStaking', 'Neta DAO', 'Stake Frites  ', 'Decloud Nodes Lab', 'chainvibes', 'Stakewollecom  Autocompound', 'Army IDs', 'Cosmic Validator  Auto Compound', 'ValidatorNode', 'Komichaincom', 'Cloudmos', 'Anonstake', ' polkachucom', 'Praetor App', '50 Validator  Airdrop', 'NoDumpNode']"
10,Forbole,25,4,1,2,0,32,32,50,27,28,0.84375,0.875,0.64,3,0.22,0.42,0.54,0.38,0.48,0.28,0.26,0.32,0.1,0.48,1.0,0.36,0.04,0.54,0.14,0.14,0.18,0.0,0.0,0.04,0.28,0.38,0.34,0.46,0.58,0.38,0.3,0.38,0.38,0.06,0.54,0.2,0.38,0.18,0.06,0.06,0.4,0.4,0.0,0.42,0.4,0.54,0.3,0.18,0.06,0.34,0.32,0.4,0.22,0.24,0.04,0.04,0.16,0.46,0.34,0.42,0.02,0.0,0.46,0.28,0.44,0.4,0.04,0.52,0.02,0.58,0.2,0.0,0.0,0.04,0.48,0.18,0.38,0.3,0.14,0.48,0.0,0.1,0.02,0.32,0.0,0.1,0.3,0.0,0.42,0.52,0.04,0.1,0.0,0.4,0.16,0.4,0.46,0.1,0.0,0.08,0.06,0.08,0.24,0.02,0.02,0.02,0.02,0.06,0.08,0.14,0.0,0.36,0.18,0.0,0.1,0.46,0.04,0.08,0.1,0.32,0.02,0.36,0.54,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.3,0.02,0.02,0.14,0.46,0.0,0.3,0.06,0.18,0.32,0.02,0.42,0.34,0.0,0.1,0.14,0.32,0.0,0.34,0.04,0.28,0.04,0.0,0.12,0.12,0.02,0.04,[]
11,POSTHUMAN  StakeDrop,31,2,0,1,0,34,34,50,30,31,0.8823529411764706,0.9117647058823529,0.68,3,0.34,0.38,0.5,0.44,0.4,0.18,0.18,0.48,0.1,0.62,0.36,1.0,0.12,0.62,0.12,0.06,0.42,0.0,0.0,0.18,0.46,0.56,0.42,0.58,0.64,0.4,0.38,0.4,0.44,0.22,0.6,0.3,0.38,0.38,0.0,0.24,0.56,0.6,0.0,0.44,0.44,0.62,0.34,0.34,0.04,0.54,0.56,0.62,0.48,0.3,0.14,0.04,0.26,0.44,0.18,0.46,0.0,0.0,0.58,0.16,0.56,0.54,0.02,0.58,0.0,0.64,0.18,0.04,0.0,0.0,0.6,0.14,0.38,0.4,0.0,0.44,0.02,0.0,0.0,0.3,0.0,0.02,0.3,0.0,0.5,0.58,0.0,0.02,0.0,0.38,0.02,0.38,0.48,0.08,0.0,0.0,0.2,0.02,0.36,0.02,0.0,0.0,0.0,0.2,0.18,0.2,0.0,0.36,0.28,0.0,0.0,0.56,0.0,0.0,0.0,0.16,0.0,0.58,0.62,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.14,0.0,0.0,0.3,0.56,0.0,0.5,0.16,0.36,0.52,0.0,0.56,0.4,0.0,0.08,0.26,0.58,0.0,0.5,0.1,0.52,0.06,0.0,0.28,0.32,0.02,0.12,"['Chorus One', '0basevc', 'ECO Stake ', 'Cosmostation', 'Meria', 'Active Nodes', 'PoS Node', 'Stakewollecom  Autocompound', 'Army IDs', ' polkachucom']"
12,Ping,6,1,0,1,0,8,8,50,6,6,0.75,0.75,0.16,3,0.14,0.08,0.08,0.1,0.06,0.04,0.06,0.12,0.02,0.12,0.04,0.12,1.0,0.12,0.06,0.0,0.1,0.0,0.0,0.04,0.1,0.1,0.08,0.1,0.12,0.1,0.08,0.04,0.12,0.04,0.12,0.06,0.1,0.1,0.0,0.04,0.12,0.12,0.0,0.12,0.12,0.14,0.04,0.1,0.0,0.12,0.12,0.12,0.12,0.08,0.02,0.0,0.06,0.1,0.02,0.12,0.0,0.0,0.12,0.04,0.12,0.1,0.0,0.12,0.0,0.12,0.02,0.0,0.0,0.0,0.12,0.06,0.1,0.1,0.0,0.12,0.0,0.02,0.0,0.12,0.0,0.0,0.1,0.0,0.08,0.12,0.02,0.0,0.0,0.08,0.02,0.06,0.1,0.02,0.0,0.0,0.04,0.02,0.08,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.0,0.04,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.12,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.04,0.12,0.0,0.08,0.06,0.06,0.1,0.0,0.1,0.08,0.0,0.02,0.1,0.12,0.0,0.1,0.04,0.12,0.02,0.0,0.04,0.1,0.0,0.02,[]
13,0basevc,44,4,1,1,0,50,50,50,47,47,0.94,0.94,1.0,3,0.4,0.54,0.74,0.6,0.62,0.32,0.3,0.62,0.12,0.86,0.54,0.62,0.12,1.0,0.26,0.12,0.46,0.0,0.02,0.22,0.62,0.7,0.64,0.78,0.92,0.58,0.58,0.54,0.66,0.24,0.88,0.38,0.52,0.4,0.06,0.26,0.7,0.68,0.0,0.62,0.64,0.86,0.5,0.38,0.1,0.7,0.58,0.76,0.56,0.38,0.16,0.02,0.32,0.62,0.44,0.72,0.02,0.0,0.76,0.32,0.74,0.66,0.06,0.88,0.02,0.82,0.26,0.04,0.0,0.06,0.9,0.28,0.46,0.52,0.2,0.66,0.04,0.08,0.04,0.5,0.02,0.1,0.46,0.02,0.74,0.88,0.02,0.18,0.02,0.62,0.12,0.6,0.78,0.14,0.0,0.06,0.22,0.1,0.42,0.02,0.02,0.02,0.02,0.22,0.2,0.24,0.0,0.56,0.34,0.0,0.14,0.74,0.02,0.1,0.12,0.34,0.02,0.68,0.88,0.16,0.12,0.02,0.02,0.0,0.02,0.02,0.28,0.02,0.32,0.02,0.02,0.34,0.7,0.0,0.56,0.22,0.44,0.62,0.02,0.66,0.48,0.0,0.14,0.3,0.62,0.0,0.58,0.12,0.6,0.06,0.0,0.28,0.34,0.02,0.14,"[' AutoStake  Slash Protected', 'StakeWithUs', 'Simply Staking', 'Vitwit Previously Witval', 'Chorus One', 'POSTHUMAN  StakeDrop', '16psyche', 'Nocturnal Labs', 'decentralizehk  DHK dao', 'Kalia Network', 'ECO Stake ', ' LavenderFive Nodes ', 'Cosmostation', 'Stakecito', 'Meria', 'Cypher Core', 'ChainLayer', 'Active Nodes', 'c29r3', 'PoS Node', 'Stakin', 'WeStaking', 'Neta DAO', 'Stake Frites  ', 'Decloud Nodes Lab', 'chainvibes', 'Stakewollecom  Autocompound', 'Army IDs', 'Bliss Dynamics', 'Cosmic Validator  Auto Compound', 'ValidatorNode', 'Bi23', 'Bitoven', 'Komichaincom', 'Cloudmos', 'Anonstake', ' polkachucom', 'Praetor App', '50 Validator  Airdrop', 'NoDumpNode', 'europlots', 'Atomstaking']"
14,Smart Stake ,9,4,1,33,0,47,47,50,12,16,0.2553191489361702,0.3404255319148936,0.94,3,0.12,0.42,0.4,0.26,0.2,0.06,0.26,0.2,0.14,0.26,0.14,0.12,0.06,0.26,1.0,0.04,0.1,0.0,0.0,0.08,0.16,0.22,0.26,0.26,0.3,0.28,0.36,0.16,0.16,0.08,0.32,0.34,0.22,0.24,0.04,0.02,0.2,0.18,0.0,0.18,0.32,0.24,0.14,0.14,0.0,0.16,0.18,0.24,0.18,0.08,0.06,0.0,0.24,0.38,0.14,0.2,0.0,0.0,0.22,0.12,0.22,0.22,0.0,0.3,0.02,0.26,0.04,0.06,0.0,0.02,0.28,0.06,0.3,0.08,0.08,0.22,0.0,0.06,0.0,0.26,0.0,0.06,0.16,0.0,0.36,0.26,0.0,0.04,0.0,0.16,0.04,0.44,0.18,0.06,0.0,0.04,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.08,0.06,0.06,0.0,0.12,0.08,0.0,0.02,0.26,0.08,0.02,0.04,0.1,0.0,0.18,0.26,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.14,0.0,0.0,0.06,0.26,0.02,0.26,0.06,0.08,0.2,0.0,0.26,0.14,0.0,0.14,0.1,0.14,0.08,0.16,0.02,0.12,0.02,0.02,0.04,0.08,0.0,0.04,[]
15, block pane ,5,1,1,0,0,7,7,50,6,7,0.8571428571428571,1.0,0.14,3,0.0,0.12,0.14,0.12,0.14,0.06,0.06,0.04,0.04,0.12,0.14,0.06,0.0,0.12,0.04,1.0,0.0,0.0,0.0,0.0,0.04,0.06,0.06,0.14,0.14,0.1,0.04,0.12,0.1,0.0,0.12,0.02,0.12,0.0,0.02,0.0,0.1,0.08,0.0,0.12,0.12,0.12,0.06,0.0,0.04,0.1,0.04,0.1,0.0,0.02,0.0,0.0,0.0,0.12,0.12,0.1,0.0,0.0,0.12,0.08,0.12,0.08,0.0,0.14,0.0,0.14,0.06,0.0,0.0,0.0,0.1,0.04,0.04,0.08,0.04,0.1,0.0,0.02,0.0,0.08,0.0,0.02,0.02,0.0,0.06,0.12,0.0,0.0,0.0,0.08,0.06,0.1,0.12,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.02,0.1,0.0,0.0,0.06,0.12,0.0,0.06,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.1,0.0,0.06,0.0,0.02,0.08,0.02,0.12,0.08,0.0,0.06,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,[]
